Name,Sold,Amount,Profit,Id
Captain John's Navy Bean Soup (5.9 oz),44,349.8,253.44,94030
"Dried Mushrooms, Sliced (14 oz)",44,2406.12,1418.32,10134
Great Northern Bean Stew (2.85 oz),44,217.8,162.36,94061
Greek Lentil Soup with Quinoa (6 oz),44,349.8,247.8,94025
Verylicious Veggie Chili (2.5 oz),44,217.8,165,94121
Southwest Style Mixed Bean Chili (2.75 oz),43,198,146.4,94091
Dark Kidney Beans (16 oz),42,627.9,359.1,12072
Dried Red Cabbage (9 oz),42,827.02,558.64,10322
Great Northern Beans (4 oz),42,156.46,110.26,12060
Red Beans (4 lbs),42,1617.96,982.5,12034
Taco Flavored Bits (20 oz),42,745.33,445.03,20052
Black Bean Flakes (46 oz),41,1560.02,1071.71,12004
"Dried Zucchini, Diced (43 oz)",41,2308.05,1352.34,10264
Captain John's Navy Bean Soup (2.95 oz),40,198,148.8,94051
Tomato Plus Seasoning (3.75 oz),40,436.68,355.08,96051
Freeze Dried Blueberry Powder (4 Cups / 64 Tbs),39,2637.15,1031.91,50181
Garbanzo Beans (4 oz),39,154.05,115.05,12090
Gourmet Maitake Mushrooms (1.5 oz.),39,778.05,518.7,11012
"Textured Soy Protein (Non-GMO, Unflavored) (45 oz)",39,1034.2,663.7,22084
Black Bean Chili Mix - PLAIN (13.5 oz),38,758.1,514.9,95082
Corn Chowder Mix - PLAIN (10 oz),38,752.1,489.9,95112
Dried Celery (25 lbs),38,10510.85,4088.85,10028
Pinto Beans (4 oz),38,140.66,101.14,12080
Bacon Flavored Bits (46 oz),37,1261.97,705.22,22054
Dried Leeks (12 oz),37,899.43,635.25,10174
Mixed Bean Chili Mix - PLAIN (3.75 oz),37,39.6,0.75,95091
Nutritional Yeast Flakes (2 oz),36,214.2,158.04,32000
Portabella Mushrooms (1.75 oz.),36,718.2,525.96,11062
Beef Style Chunks (Unflavored) (48 oz.),35,1042.33,553.38,21034
"Flavored Plant-Based Protein Pantry Stuffer (6 Varieties, Quart Size)",34,2443.76,1102.8,29022
Great Northern Beans (16 oz),34,508.3,297.5,12062
Mixed Bean Chili Mix - PLAIN (15 oz),34,678.3,471.24,95092
Red Beans (16 oz),34,508.3,297.84,12032
Chickenish Seasoning (5.5 oz),33,358.93,184.03,96011
Dried Jalapeno Dices (30 lbs),33,15684.75,7771.35,10168
"Dried Peppers, Mixed (14 lbs)",33,5678.58,2928.03,10056
Sausage Flavored Crumbles (50 oz),33,1150.68,724.98,22074
Split Pea Soup Mix - PLAIN (21 oz),33,658.35,444.84,95032
Taco Flavored Bits (78 oz),33,1584.54,852.6,20054
Dried Red Cabbage (30 oz),32,1278.4,728,10324
Pinto Beans (25 lbs),32,4966.61,2157.33,12086
Dried Vegetable Soup Mix (16 lbs),31,6130.54,3141.52,10216
Great Northern Beans (4 lbs),31,1228.46,737.42,12064
Navy Beans (4 oz),31,113.01,77.98,12050
PHONE CUSTOM PRODUCT,31,-6509.26,-6509.26,0
Gourmet Lion's Mane Mushrooms (Pom Pom) (2.25 oz.),30,741.02,482.72,11072
Pinto Beans (16 oz),30,448.5,266.7,12082
Dried Onions (18 lbs),29,5078.73,2386.37,10086
Dried Onions (35 lbs),29,7958.38,2832.63,10088
Navy Beans (16 oz),29,433.55,252.88,12052
Oyster Mushrooms (1.75 oz.),29,578.55,414.12,11032
Soup & Chili Mix Sampler COMBO,29,1825.84,990.93,96079
Textured Soy Protein (Unflavored) (15 lbs),29,1746.04,780.05,21086
Textured Soy Protein (Unflavored) (42 oz),29,637.39,325.35,21084
Unflavored Plant-Based Protein Sampler (6 ZIP Pouches),29,599.14,359.31,29030
Deluxe Soup Variety Pack (12 Bags /w cooker),28,2489.98,1329.38,96010
Dried Spinach Flakes (5 lbs),28,2630.68,1735.8,10146
Seasoning Kit (4 count),27,1078.65,632.61,96081
"Tropical Fruit Medley (4 Jars, Quart Size)",27,2133.06,1230.03,50114
Champignon Mushrooms (2.25 oz.),26,518.7,368.16,11052
Chicken Style Bits (Unflavored) (3 oz.),26,90.76,73.08,21020
Chili Boost Seasoning (3.25 oz),26,282.5,229.72,96071
Super Savory Split Pea Soup (3.5 oz),26,128.7,94.9,94031
BACKPACKING Soup & Chili Kit COMBO,25,2249,1105.25,96035
Beef Style Chunks (Unflavored) (12 oz.),25,321.55,197.05,21032
Beefish Quinoa with Mushrooms (2.30 oz),25,123.75,89.25,94071
Chicken Style Chunks (Unflavored) (3 oz),25,87.81,67.81,21060
"Cookbook: Soup Mixes, Using Dehydrated Products",25,573.75,348,96300
Navy Beans (4 lbs),25,990.75,603.75,12054
Chicken Style Chunks (Unflavored) (10 oz),24,269.48,171.32,21062
Dark Kidney Beans (4 oz),24,94.8,68.64,12070
Organic Dried Sweet Potatoes (40 lbs),24,9739.01,4291.01,70228
Potato Starch (6 oz),24,142.8,107.28,30030
Organic Freeze-Dried Mangoes (6.25 oz),23,561.35,374.13,70162
Split Peas (6 oz),23,90.85,57.75,12020
Chicken Flavored Bits (25 lbs),22,3737.92,1691.92,22028
Dried Butternut Squash (20 lb),22,4157.48,1910.4,10296
Freeze Dried Pineapple Powder (4 Cups / 64 Tbs),22,1273.45,466.36,50171
Nutritional Yeast Flakes (36 oz),22,1486.43,985.27,32004
Red Beans (4 oz),22,86.9,65.12,12030
Split Pea Soup Mix - PLAIN (5.25 oz),22,108.9,84.04,95031
"Textured Soy Protein (Non-GMO, Unflavored) (10 oz)",22,256.52,187.66,22082
Vegetable Chili Mix - PLAIN (12.5 oz),22,438.9,299.64,95122
Beefish Seasoning (4.5 oz),21,227.32,130.93,96031
Beefish Soup Mix with Mushrooms - PLAIN (12 oz),21,412.95,269.31,95072
Chickenish Soup Mix - PLAIN (12 oz),21,414.96,282.45,95012
Dried Tomato Dices (12 lbs),21,3275.09,1591.31,10156
Navy Beans (25 lbs),21,3521.26,1588.42,12056
Dried Tomato Dices (25 lbs),20,5482.44,2232.44,10158
Beef Style Chunks (Unflavored) (25 lbs.),19,2820.84,1006.34,21038
"Flavored Plant-Based Protein Family Pack (6 Varieties, Gallon Size)",19,3388.25,1734.3,29024
Freeze Dried Strawberry Powder & Bits (4 Cups),19,475,-1.14,50101-2
Italian Vegetable Soup Mix - PLAIN (20 lb. Bulk Box),19,3191.59,1318.66,95106
