ï»¿(Parent) ASIN,(Child) ASIN,Title,Sessions - Total,Sessions - Total - B2B,Session Percentage - Total,Session Percentage - Total - B2B,Page Views - Total,Page Views - Total - B2B,Page Views Percentage - Total,Page Views Percentage - Total - B2B,Featured Offer (Buy Box) Percentage,Featured Offer (Buy Box) Percentage - B2B,Units Ordered,Units Ordered - B2B,Unit Session Percentage,Unit Session Percentage - B2B,Ordered Product Sales,Ordered Product Sales - B2B,Total Order Items,Total Order Items - B2B
B08T4Y67B7,B08T4Y67B7,"SHEEPDOG MICROPHONES SD28-KW2 Police Remote Shoulder Speaker Microphone, Compatible with Kenwood NEXEDGE and P25 NX-210 NX-300 NX-5200 NX-5300 TK-280 TK-380 TK-3180 TK-5220 Two Way Radios",20,0,0.02%,0.00%,32,0,0.02%,0.00%,100.00%,0.00%,0,0,0.00%,0.00%,$0.00,$0.00,0,0
B08T4Z9F3M,B08T4Z9F3M,"SHEEPDOG MICROPHONES SD28-MT3 Police Remote Shoulder Speaker Microphone, Compatible with Motorola XTS 2500 XTS 5000 HT 1000 MTX 8000 MTX 9000 EF Johnson 5100 and Viking VP900 Two Way Radios",21,1,0.02%,0.03%,32,2,0.02%,0.04%,100.00%,100.00%,0,0,0.00%,0.00%,$0.00,$0.00,0,0
B08WF27NMD,B08WF27NMD,"Sheepdog SDC1V3-MT19T Single Unit Rapid Charger, Compatible with Motorola APX 6000 APX 6000XE APX 7000 APX 7000XE APX 8000 and APX 8000XE Radios, Smart Charging Technology",23,1,0.02%,0.03%,27,1,0.02%,0.02%,85.19%,100.00%,0,0,0.00%,0.00%,$0.00,$0.00,0,0
B08WFJ2M5R,B08WFJ2M5R,"Sheepdog SDC1-MT16B Single Rapid Desktop Battery Charger with Status LED, Compatible with Motorola APX 900 APX 1000 APX 4000 XPR 3300 XPR 3500 XPR 6350 XPR 6550 XPR 7380 XPR 7550 XPR 7580 and VXD 720",1,0,0.00%,0.00%,1,0,0.00%,0.00%,100.00%,0.00%,0,0,0.00%,0.00%,$0.00,$0.00,0,0
B08XWKH4JN,B08XWKH4JN,"Pryme Trooper SPM-2100-T8 Shoulder Speaker Microphone for Tait Harris Two Way Radios, TP8110 TP8115 TP8120 TP8135 TP8140 TP9310 TP9355 TP9360 TP9435 and TP9455",2,0,0.00%,0.00%,4,0,0.00%,0.00%,100.00%,0.00%,0,0,0.00%,0.00%,$0.00,$0.00,0,0
B08XWNX2DX,B08XWNX2DX,"Pryme Trooper SPM-2123 Shoulder Speaker Microphone for Motorola XTS Series Two Way Radios, XTS5000 XTS3000 XTS2500 and XTS1500",1,0,0.00%,0.00%,1,0,0.00%,0.00%,100.00%,0.00%,0,0,0.00%,0.00%,$0.00,$0.00,0,0
B08XWP2JJ8,B08XWP2JJ8,Pryme SPM-2111 Trooper Shoulder Speaker Microphone for Kenwood P25 NEXEDGE NX and TK Series Two Way Radios,12,2,0.01%,0.05%,14,2,0.01%,0.04%,92.86%,0.00%,0,0,0.00%,0.00%,$0.00,$0.00,0,0
B08XWP3LNQ,B08XWP3LNQ,"Pryme Trooper SPM-2127 Shoulder Speaker Microphone for Harris MA-COM Series Two Way Radios, P5130 P5150 P5200 P7130 P7150 P7170 P7200 P7270 Jaguar 700P",1,0,0.00%,0.00%,1,0,0.00%,0.00%,100.00%,0.00%,0,0,0.00%,0.00%,$0.00,$0.00,0,0
B08Z7HD6M3,B08Z7HD6M3,"Pryme LMC-1GH01 Pro-Grade 1-Wire Swivel Earpiece Headset with Microphone, Compatible with Kenwood 2-Pin Two Way Radios, NX-340 TK-3402 TK-2170 TK-3312 TK-3360 TK-2312 NX-P1200 NX-P1300",10,1,0.01%,0.03%,13,1,0.01%,0.02%,92.31%,100.00%,0,0,0.00%,0.00%,$0.00,$0.00,0,0
B08ZBXTRDF,B08ZBXTRDF,"Pryme LMC-1GH21 Pro-Grade 1-Wire Swivel Earpiece Headset with Microphone, Compatible with Kenwood ProTalk LT PKT-23 Pocket-Sized Two Way Radios, KHS-33 KHS-34",6,1,0.00%,0.03%,11,1,0.01%,0.02%,100.00%,100.00%,0,0,0.00%,0.00%,$0.00,$0.00,0,0
B08ZCGYKQM,B08ZCGYKQM,"Pryme Trooper SPM-2101 Shoulder Speaker Microphone for Kenwood 2-Pin Two Way Radios, NX-340 TK-3402 TK-2170 TK-3312 TK-3360 TK-2312 NX-P1200 NX-P1300",12,0,0.01%,0.00%,13,0,0.01%,0.00%,100.00%,0.00%,0,0,0.00%,0.00%,$0.00,$0.00,0,0
B08ZCNF1W5,B08ZCNF1W5,"Pryme Trooper SPM-2103 Shoulder Speaker Microphone for Motorola 2-Pin Two Way Radios, CP100D CP200 CP200D CLS1110 CLS1410 RDU4100 BC130 BC300D",8,1,0.01%,0.03%,10,1,0.01%,0.02%,87.50%,100.00%,0,0,0.00%,0.00%,$0.00,$0.00,0,0
B091YJC4ZR,B091YJC4ZR,"Pryme SPM-2383 Surveillance 2-Wire Earpiece Headset with Microphone, Compatible with Motorola APX Series Two Way Radios, APX 4000 APX 6000 APX 7000 and APX 8000",9,0,0.01%,0.00%,10,0,0.01%,0.00%,88.89%,0.00%,0,0,0.00%,0.00%,$0.00,$0.00,0,0
B092C4WPBZ,B092C4WPBZ,"Pryme SPM-2383BF Braided Fiber Surveillance 2-Wire Earpiece Headset with Microphone, Compatible with Motorola APX Series Two Way Radios, APX 4000 APX 6000 APX 7000 and APX 8000",2,0,0.00%,0.00%,4,0,0.00%,0.00%,100.00%,0.00%,0,0,0.00%,0.00%,$0.00,$0.00,0,0
B092HHJ9JN,B092HHJ9JN,"Pryme SPM-2201 Trooper 2 Waterproof and Noise Cancelling Shoulder Speaker Microphone for Kenwood 2-Pin Two Way Radios, NX-340 TK-3402 TK-2170 TK-3312 TK-3360 TK-2312 NX-P1200 NX-P1300",1,0,0.00%,0.00%,1,0,0.00%,0.00%,100.00%,0.00%,0,0,0.00%,0.00%,$0.00,$0.00,0,0
B0CBWD485X,B094TG67VV,PRYMEÂ® SPM-600 Synergyâ¢ Series High-Perfomance Mid-Size Amplified Speaker Microphone w/3.5 Earphone Jack and 2-Pin Side Connector (SPM-600-M8-AMP),7,0,0.01%,0.00%,13,0,0.01%,0.00%,11.11%,0.00%,0,0,0.00%,0.00%,$0.00,$0.00,0,0
B09BT6RDRN,B09BT6RDRN,"Klein Electronics Signal Braided Cable 1-Wire Acoustic Tube Earpiece and Microphone, Compatible with Motorola 2-Pin Two Way Radios, CP100D CP200 CP200D CLS1110 CLS1410 RDU4100 BC130 BC300D and BPR40D",3,0,0.00%,0.00%,6,0,0.00%,0.00%,100.00%,0.00%,0,0,0.00%,0.00%,$0.00,$0.00,0,0
B09BT6TWSJ,B09BT6TWSJ,"Klein Electronics Razor in-Line 1-Wire Lightweight Headset with Boom Microphone, Compatible with Motorola 2-Pin Two Way Radios, CP100D CP200 CP200D CLS1110 CLS1410 RDU4100 BC130 BC300D and BPR40D",1,0,0.00%,0.00%,1,0,0.00%,0.00%,100.00%,0.00%,0,0,0.00%,0.00%,$0.00,$0.00,0,0
B09BT8QFL9,B09BT8QFL9,"Klein Electronics Director Braided Cable 2-Wire Acoustic Tube Earpiece and Mic, Compatible with Kenwood 2-Pin Two Way Radios, NX-1300 NX-340 TK-3402 TK-2170 TK-3312 TK-3360 TK-2312 NX-P1200 NX-P1300",6,0,0.00%,0.00%,6,0,0.00%,0.00%,100.00%,0.00%,0,0,0.00%,0.00%,$0.00,$0.00,0,0
B09BT8WBQZ,B09BT8WBQZ,"Klein Electronics Agent in-Line 1-Wire D-Ring Earpiece and Microphone, Compatible with Kenwood 2-Pin Two Way Radios, NX-1300 NX-340 TK-3402 TK-2170 TK-3312 TK-3360 TK-2312 NX-P1200 and NX-P1300",9,1,0.01%,0.03%,10,1,0.01%,0.02%,100.00%,100.00%,0,0,0.00%,0.00%,$0.00,$0.00,0,0
B09BTBMYCL,B09BTBMYCL,"Klein Electronics Signal 1-Wire Acoustic Tube Earpiece and Microphone, Compatible with Kenwood 2-Pin Two Way Radios, NX-1300 NX-340 TK-3402 TK-2170 TK-3312 TK-3360 TK-2312 NX-P1200 and NX-P1300",6,1,0.00%,0.03%,7,1,0.00%,0.02%,100.00%,100.00%,0,0,0.00%,0.00%,$0.00,$0.00,0,0
B09BTCX9X7,B09BTCX9X7,"Klein Electronics Agent in-Line 1-Wire D-Ring Earpiece and Microphone, Compatible with Motorola 2-Pin Two Way Radios, CP100D CP200 CP200D CLS1110 CLS1410 RDU4100 BC130 BC300D and BPR40D",9,0,0.01%,0.00%,9,0,0.01%,0.00%,100.00%,0.00%,0,0,0.00%,0.00%,$0.00,$0.00,0,0
B09BTDC8H1,B09BTDC8H1,"Klein Electronics Flare Compact Remote Shoulder Speaker Microphone, Compatible with Kenwood 2-Pin Two Way Radios, NX-1300 NX-340 TK-3402 TK-2170 TK-3312 TK-3360 TK-2312 NX-P1200 and NX-P1300",3,0,0.00%,0.00%,3,0,0.00%,0.00%,0.00%,0.00%,0,0,0.00%,0.00%,$0.00,$0.00,0,0
B09BTDCRB1,B09BTDCRB1,"Klein Electronics Bodyguard Braided Cable 1-Wire Earhook Earpiece and Mic, Compatible with Kenwood 2-Pin Two Way Radios, NX-1300 NX-340 TK-3402 TK-2170 TK-3312 TK-3360 TK-2312 NX-P1200 and NX-P1300",2,0,0.00%,0.00%,3,0,0.00%,0.00%,100.00%,0.00%,0,0,0.00%,0.00%,$0.00,$0.00,0,0
B09BTDL6J9,B09BTDL6J9,"Klein Electronics Comet High-Noise Single Muff Headset with Boom Microphone, Compatible with Klein K-Cord",7,0,0.01%,0.00%,9,0,0.01%,0.00%,100.00%,0.00%,0,0,0.00%,0.00%,$0.00,$0.00,0,0
B09BTDVNV2,B09BTDVNV2,"Klein Electronics Bodyguard 1-Wire Earhook Earpiece and Microphone, Compatible with Kenwood 2-Pin Two Way Radios, NX-1300 NX-340 TK-3402 TK-2170 TK-3312 TK-3360 TK-2312 NX-P1200 and NX-P1300",7,1,0.01%,0.03%,7,1,0.00%,0.02%,100.00%,100.00%,0,0,0.00%,0.00%,$0.00,$0.00,0,0
B09BTDXLY5,B09BTDXLY5,"Klein Electronics Bodyguard Braided Cable 1-Wire Earhook Earpiece and Microphone, Compatible with Motorola 2-Pin Two Way Radios, CP100D CP200 CP200D CLS1110 CLS1410 RDU4100 BC130 BC300D and BPR40D",6,2,0.00%,0.05%,6,2,0.00%,0.04%,100.00%,100.00%,0,0,0.00%,0.00%,$0.00,$0.00,0,0
B09BTFQBDP,B09BTFQBDP,"Klein Electronics Flare Compact Remote Shoulder Speaker Microphone, Compatible with Motorola 2-Pin Two Way Radios, CP100D CP200 CP200D CLS1110 CLS1410 RDU4100 BC130 BC300D and BPR40D",1,0,0.00%,0.00%,3,0,0.00%,0.00%,0.00%,0.00%,0,0,0.00%,0.00%,$0.00,$0.00,0,0
B09BTG81F2,B09BTG81F2,"Klein Electronics Titan High-Noise Dual-Muff Listen Only Headset, Compatible with Klein K-Cord",10,0,0.01%,0.00%,13,0,0.01%,0.00%,100.00%,0.00%,0,0,0.00%,0.00%,$0.00,$0.00,0,0
B09BTGC7D6,B09BTGC7D6,"Klein Electronics Two Way Radio Audio Adapter, Compatible with Kenwood 2-Pin Two Way Radios, NX-1300 NX-340 TK-3402 TK-2170 TK-3312 TK-3360 TK-2312 NX-P1200 and NX-P1300",15,0,0.01%,0.00%,26,0,0.02%,0.00%,100.00%,0.00%,0,0,0.00%,0.00%,$0.00,$0.00,0,0
B09BTH2HL1,B09BTH2HL1,"Klein Electronics Curl in-Line 1-Wire Swivel Earpiece and Microphone, Compatible with Kenwood 2-Pin Two Way Radios, NX-1300 NX-340 TK-3402 TK-2170 TK-3312 TK-3360 TK-2312 NX-P1200 and NX-P1300",5,0,0.00%,0.00%,5,0,0.00%,0.00%,100.00%,0.00%,0,0,0.00%,0.00%,$0.00,$0.00,0,0
B09BTJKBBL,B09BTJKBBL,"Klein Electronics Curl Braided Cable in-Line 1-Wire Swivel Earpiece and Mic, Compatible with Kenwood 2-Pin Two Way Radios, NX-1300 NX-340 TK-3402 TK-2170 TK-3312 TK-3360 TK-2312 NX-P1200 and NX-P1300",1,0,0.00%,0.00%,1,0,0.00%,0.00%,100.00%,0.00%,0,0,0.00%,0.00%,$0.00,$0.00,0,0
B09BTJSW7Z,B09BTJSW7Z,"Klein Electronics Bravo Remote Shoulder Speaker Microphone, Compatible with Motorola 2-Pin Two Way Radios, CP100D CP200 CP200D CLS1110 CLS1410 RDU4100 BC130 BC300D and BPR40D",9,0,0.01%,0.00%,10,0,0.01%,0.00%,100.00%,0.00%,0,0,0.00%,0.00%,$0.00,$0.00,0,0
B09BTJTXTL,B09BTJTXTL,"Klein Electronics Titan Red Extreme High-Noise Dual-Muff Headset with Boom Microphone, Compatible with Klein K-Cord",24,1,0.02%,0.03%,39,1,0.02%,0.02%,93.94%,100.00%,0,0,0.00%,0.00%,$0.00,$0.00,0,0
B09BTKR2M7,B09BTKR2M7,"Klein Electronics Curl in-Line 1-Wire Swivel Earpiece and Microphone, Compatible with Motorola 2-Pin Two Way Radios, CP100D CP200 CP200D CLS1110 CLS1410 RDU4100 BC130 BC300D and BPR40D",2,1,0.00%,0.03%,2,1,0.00%,0.02%,100.00%,0.00%,0,0,0.00%,0.00%,$0.00,$0.00,0,0
B09BTL3FXT,B09BTL3FXT,"Klein Electronics Valor Remote Shoulder Speaker Microphone, Compatible with Kenwood 2-Pin Two Way Radios, NX-1300 NX-340 TK-3402 TK-2170 TK-3312 TK-3360 TK-2312 NX-P1200 and NX-P1300",16,4,0.01%,0.11%,20,4,0.01%,0.08%,100.00%,100.00%,0,0,0.00%,0.00%,$0.00,$0.00,0,0
B09BTMLS63,B09BTMLS63,"Klein Electronics Titan Extreme High-Noise Dual-Muff Headset with FlexBoom Microphone and Gel EarPads, Compatible with Klein K-Cord",125,4,0.10%,0.11%,165,4,0.10%,0.08%,99.22%,100.00%,0,0,0.00%,0.00%,$0.00,$0.00,0,0
B09BTMR5RR,B09BTMR5RR,"Klein Electronics Commander in-Line 1-Wire Tactical Headset with Boom Mic, Compatible with Kenwood 2-Pin Two Way Radios, NX-1300 NX-340 TK-3402 TK-2170 TK-3312 TK-3360 TK-2312 NX-P1200 and NX-P1300",1,0,0.00%,0.00%,2,0,0.00%,0.00%,100.00%,0.00%,0,0,0.00%,0.00%,$0.00,$0.00,0,0
B09BTPDS5H,B09BTPDS5H,"Klein Electronics Star Braided Cable in-Line 1-Wire Acoustic Tube Earpiece and Mic, Compatible with Motorola 2-Pin Two Way Radios, CP100D CP200 CP200D CLS1110 CLS1410 RDU4100 BC130 BC300D and BPR40D",2,0,0.00%,0.00%,8,0,0.00%,0.00%,100.00%,0.00%,0,0,0.00%,0.00%,$0.00,$0.00,0,0
B09BTQ1B29,B09BTQ1B29,"Klein Electronics Director Braided Cable 2-Wire Acoustic Tube Earpiece and Mic, Compatible with Motorola 2-Pin Two Way Radios, CP100D CP200 CP200D CLS1110 CLS1410 RDU4100 BC130 BC300D and BPR40D",6,1,0.00%,0.03%,7,2,0.00%,0.04%,100.00%,0.00%,0,0,0.00%,0.00%,$0.00,$0.00,0,0
B09BTQ1WRZ,B09BTQ1WRZ,"Klein Electronics Titan Black Extreme High-Noise Dual-Muff Headset with Boom Microphone, Compatible with Klein K-Cord",3,0,0.00%,0.00%,5,0,0.00%,0.00%,100.00%,0.00%,0,0,0.00%,0.00%,$0.00,$0.00,0,0
B09BTQBDK2,B09BTQBDK2,"Klein Electronics Star Braided Cable in-Line 1-Wire Earpiece and Mic, Compatible with Kenwood 2-Pin Two Way Radios, NX-1300 NX-340 TK-3402 TK-2170 TK-3312 TK-3360 TK-2312 NX-P1200 and NX-P1300",2,0,0.00%,0.00%,2,0,0.00%,0.00%,100.00%,0.00%,0,0,0.00%,0.00%,$0.00,$0.00,0,0
B09BTRMZDC,B09BTRMZDC,"Klein Electronics Agent in-Line 1-Wire Adjustable Swivel Earpiece and Microphone, Compatible with Motorola 2-Pin Two Way Radios, CP100D CP200 CP200D CLS1110 CLS1410 RDU4100 BC130 BC300D and BPR40D",4,0,0.00%,0.00%,10,0,0.01%,0.00%,100.00%,0.00%,0,0,0.00%,0.00%,$0.00,$0.00,0,0
B09BTSB3MH,B09BTSB3MH,"Klein Electronics Titan Carbon Fiber Extreme High-Noise Dual-Muff Headset with Boom Microphone, Compatible with Klein K-Cord",9,0,0.01%,0.00%,9,0,0.01%,0.00%,88.89%,0.00%,0,0,0.00%,0.00%,$0.00,$0.00,0,0
B09BTSGJNR,B09BTSGJNR,"Klein Electronics Valor Remote Shoulder Speaker Microphone, Compatible with Motorola 2-Pin Two Way Radios, CP100D CP200 CP200D CLS1110 CLS1410 RDU4100 BC130 BC300D and BPR40D",35,2,0.03%,0.05%,42,2,0.02%,0.04%,85.37%,100.00%,0,0,0.00%,0.00%,$0.00,$0.00,0,0
B09BTSXY7W,B09BTSXY7W,"Klein Electronics Bodyguard 1-Wire Earhook Earpiece and Microphone, Compatible with Motorola 2-Pin Two Way Radios, CP100D CP200 CP200D CLS1110 CLS1410 RDU4100 BC130 BC300D and BPR40D",1,1,0.00%,0.03%,1,1,0.00%,0.02%,100.00%,0.00%,0,0,0.00%,0.00%,$0.00,$0.00,0,0
B09BTT2JCP,B09BTT2JCP,"Klein Electronics Two Way Radio Audio Adapter, Compatible with Motorola 2-Pin Two Way Radios, CP100D CP200 CP200D CLS1110 CLS1410 RDU4100 BC130 BC300D and BPR40D",29,0,0.02%,0.00%,35,0,0.02%,0.00%,0.00%,0.00%,0,0,0.00%,0.00%,$0.00,$0.00,0,0
B09BTTCMJ5,B09BTTCMJ5,"Klein Electronics Bravo Remote Shoulder Speaker Microphone, Compatible with Kenwood 2-Pin Two Way Radios, NX-1300 NX-340 TK-3402 TK-2170 TK-3312 TK-3360 TK-2312 NX-P1200 and NX-P1300",16,2,0.01%,0.05%,18,3,0.01%,0.06%,100.00%,100.00%,0,0,0.00%,0.00%,$0.00,$0.00,0,0
B09BTTMJ1S,B09BTTMJ1S,"Klein Electronics DualSport Extreme High-Noise Dual-Muff Headset with FlexBoom Microphone, Compatible with Klein K-Cord",12,0,0.01%,0.00%,17,0,0.01%,0.00%,100.00%,0.00%,0,0,0.00%,0.00%,$0.00,$0.00,0,0
B09BTTWJSG,B09BTTWJSG,"Klein Electronics K-Cord Short Headset Cable, Compatible with Kenwood 2-Pin Two Way Radios, NX-1300 NX-340 TK-3402 TK-2170 TK-3312 TK-3360 TK-2312 NX-P1200 and NX-P1300",2,0,0.00%,0.00%,2,0,0.00%,0.00%,100.00%,0.00%,0,0,0.00%,0.00%,$0.00,$0.00,0,0
B09HSV6449,B09HSV6449,"Klein Electronics M7-QD Quick-Disconnect Adapter, Compatible with Motorola APX 6000 APX 7000 APX 8000 APX 4000 XPR 7550e XPR 7580e XPR 7350e and XPR 7380e Radios",3,0,0.00%,0.00%,3,0,0.00%,0.00%,100.00%,0.00%,0,0,0.00%,0.00%,$0.00,$0.00,0,0
B09HSV8NWN,B09HSV8NWN,"Klein Electronics Comfit-M9 in-Line 1-Wire Acoustic Tube Earpiece and Noise Cancelling Boom Microphone, Compatible with Motorola XPR 3300e XPR 3500e XPR3300 XPR3500 Two Way Radios",15,1,0.01%,0.03%,17,1,0.01%,0.02%,100.00%,100.00%,0,0,0.00%,0.00%,$0.00,$0.00,0,0
B09HSVGRQ7,B09HSVGRQ7,"Klein Electronics Modular-M9 Junction Box Cable, Compatible with Motorola XPR 3300e XPR 3500e XPR3300 XPR3500 Two Way Radios",2,0,0.00%,0.00%,2,0,0.00%,0.00%,100.00%,0.00%,0,0,0.00%,0.00%,$0.00,$0.00,0,0
B09HSVLW8M,B09HSVLW8M,"Klein Electronics Curl-M9 in-Line 1-Wire Swivel Earpiece and Microphone, Compatible with Motorola XPR 3300e XPR 3500e XPR3300 XPR3500 Two Way Radios",2,1,0.00%,0.03%,2,1,0.00%,0.02%,100.00%,100.00%,0,0,0.00%,0.00%,$0.00,$0.00,0,0
B09HSVQNDH,B09HSVQNDH,"Klein Electronics Patriot-M7 Two-Wire Acoustic Tube Earpiece and Microphone, Compatible with Motorola APX 6000 APX 7000 APX 8000 APX 4000 XPR 7550e XPR 7580e XPR 7350e and XPR 7380e Radios",3,0,0.00%,0.00%,5,0,0.00%,0.00%,100.00%,0.00%,0,0,0.00%,0.00%,$0.00,$0.00,0,0
B09HSW3T99,B09HSW3T99,"Klein Electronics Bodyguard-M9 One-Wire Earhook Earpiece and Microphone, Compatible with Motorola XPR 3300e XPR 3500e XPR3300 XPR3500 Two Way Radios",17,0,0.01%,0.00%,19,0,0.01%,0.00%,100.00%,0.00%,0,0,0.00%,0.00%,$0.00,$0.00,0,0
B09HSW6QVP,B09HSW6QVP,"Klein Electronics Bravo-M9 Remote Shoulder Speaker Microphone, Compatible with Motorola XPR 3300e XPR 3500e XPR3300 XPR3500 Two Way Radios",3,0,0.00%,0.00%,3,0,0.00%,0.00%,100.00%,0.00%,0,0,0.00%,0.00%,$0.00,$0.00,0,0
B09HSW7VH8,B09HSW7VH8,"Klein Electronics Flare-M7 Compact Remote Shoulder Speaker Microphone, Compatible with Motorola APX 6000 APX 7000 APX 8000 APX 4000 XPR 7550e XPR 7580e XPR 7350e and XPR 7380e Radios",2,1,0.00%,0.03%,2,1,0.00%,0.02%,100.00%,100.00%,0,0,0.00%,0.00%,$0.00,$0.00,0,0
B09HSW9XFL,B09HSW9XFL,"Klein Electronics Agent-M7 in-Line 1-Wire Adjustable Swivel Earpiece and Microphone, Compatible with Motorola APX 6000 APX 7000 APX 8000 APX 4000 XPR 7550e XPR 7580e XPR 7350e and XPR 7380e Radios",2,0,0.00%,0.00%,2,0,0.00%,0.00%,100.00%,0.00%,0,0,0.00%,0.00%,$0.00,$0.00,0,0
B09HSWB1DX,B09HSWB1DX,"Klein Electronics Bodyguard-M7 One-Wire Earhook Earpiece and Microphone, Compatible with Motorola APX 6000 APX 7000 APX 8000 APX 4000 XPR 7550e XPR 7580e XPR 7350e and XPR 7380e Radios",6,0,0.00%,0.00%,6,0,0.00%,0.00%,100.00%,0.00%,0,0,0.00%,0.00%,$0.00,$0.00,0,0
B09HSWCN3W,B09HSWCN3W,"Klein Electronics Modular-M7 Junction Box Cable, Compatible with Motorola APX 6000 APX 7000 APX 8000 APX 4000 XPR 7550e XPR 7580e XPR 7350e and XPR 7380e Radios",5,0,0.00%,0.00%,5,0,0.00%,0.00%,100.00%,0.00%,0,0,0.00%,0.00%,$0.00,$0.00,0,0
B09HSWDZ18,B09HSWDZ18,"Klein Electronics Signal-M9 One-Wire Acoustic Tube Earpiece and Microphone, Compatible with Motorola XPR 3300e XPR 3500e XPR3300 XPR3500 Two Way Radios",6,1,0.00%,0.03%,8,1,0.00%,0.02%,100.00%,100.00%,0,0,0.00%,0.00%,$0.00,$0.00,0,0
B09HSWMZZH,B09HSWMZZH,"Klein Electronics Razor-M7 in-Line 1-Wire Lightweight Headset with Boom Microphone, Compatible with Motorola APX 6000 APX 7000 APX 8000 APX 4000 XPR 7550e XPR 7580e XPR 7350e and XPR 7380e Radios",3,0,0.00%,0.00%,3,0,0.00%,0.00%,100.00%,0.00%,0,0,0.00%,0.00%,$0.00,$0.00,0,0
B09HSWR1GG,B09HSWR1GG,"Klein Electronics Voyager-M7 in-Line 1-Wire Lightweight Headset with Boom Microphone, Compatible with Motorola APX 6000 APX 7000 APX 8000 APX 4000 XPR 7550e XPR 7580e XPR 7350e and XPR 7380e Radios",4,0,0.00%,0.00%,4,0,0.00%,0.00%,100.00%,0.00%,0,0,0.00%,0.00%,$0.00,$0.00,0,0
B09HSWZ4MR,B09HSWZ4MR,"Klein Electronics CrewChief-M7 Behind-The-Head 1-Wire Headset, Compatible with Motorola APX 6000 APX 7000 APX 8000 APX 4000 XPR 7550e XPR 7580e XPR 7350e and XPR 7380e Radios",43,3,0.03%,0.08%,56,3,0.03%,0.06%,100.00%,100.00%,0,0,0.00%,0.00%,$0.00,$0.00,0,0
B09HSXPCCQ,B09HSXPCCQ,"Klein Electronics Bravo-M7 Remote Shoulder Speaker Microphone, Compatible with Motorola APX 6000 APX 7000 APX 8000 APX 4000 XPR 7550e XPR 7580e XPR 7350e and XPR 7380e Radios",6,0,0.00%,0.00%,8,0,0.00%,0.00%,100.00%,0.00%,0,0,0.00%,0.00%,$0.00,$0.00,0,0
B09HTGJ8FQ,B09HTGJ8FQ,"Klein Electronics Director-M7 Two-Wire Acoustic Tube Earpiece and Microphone, Compatible with Motorola APX 6000 APX 7000 APX 8000 APX 4000 XPR 7550e XPR 7580e XPR 7350e and XPR 7380e Radios",2,0,0.00%,0.00%,3,0,0.00%,0.00%,100.00%,0.00%,0,0,0.00%,0.00%,$0.00,$0.00,0,0
B09J1SRDSY,B09J1SRDSY,"Klein Electronics Veteran-M8 Remote Shoulder Speaker Microphone, Compatible with Motorola Wave TLK100 Series SL300 SL7550 SL4000 SL4010 SL500e and SL3500e Two Way Radios",33,4,0.03%,0.11%,50,4,0.03%,0.08%,89.47%,100.00%,0,0,0.00%,0.00%,$0.00,$0.00,0,0
B09J1SSD27,B09J1SSD27,"Klein Electronics Signal-M8 One-Wire Acoustic Tube Earpiece and Microphone, Compatible with Motorola Wave TLK100 Series SL300 SL7550 SL4000 SL4010 SL500e and SL3500e Two Way Radios",4,0,0.00%,0.00%,5,0,0.00%,0.00%,100.00%,0.00%,0,0,0.00%,0.00%,$0.00,$0.00,0,0
B09J1SSGWK,B09J1SSGWK,"Klein Electronics Signal-K4 One-Wire Acoustic Tube Earpiece and Microphone, Compatible with Kenwood NX-P500 NXP500 NXP-500 Two Way Radios",3,0,0.00%,0.00%,3,0,0.00%,0.00%,100.00%,0.00%,0,0,0.00%,0.00%,$0.00,$0.00,0,0
B09J1ST8CJ,B09J1ST8CJ,"Klein Electronics Patriot-K4 Two-Wire Acoustic Tube Earpiece and Microphone, Compatible with Kenwood NX-P500 NXP500 NXP-500 Two Way Radios",4,0,0.00%,0.00%,7,0,0.00%,0.00%,100.00%,0.00%,0,0,0.00%,0.00%,$0.00,$0.00,0,0
B09J1SZKS2,B09J1SZKS2,"Klein Electronics Curl-K4 in-Line 1-Wire Swivel Earpiece and Microphone, Compatible with Kenwood NX-P500 NXP500 NXP-500 Two Way Radios",6,3,0.00%,0.08%,6,3,0.00%,0.06%,100.00%,100.00%,0,0,0.00%,0.00%,$0.00,$0.00,0,0
B09J1T3MNQ,B09J1T3MNQ,"Klein Electronics Curl-M8 in-Line 1-Wire Swivel Earpiece and Microphone, Compatible with Motorola Wave TLK100 Series SL300 SL7550 SL4000 SL4010 SL500e and SL3500e Two Way Radios",2,0,0.00%,0.00%,2,0,0.00%,0.00%,100.00%,0.00%,0,0,0.00%,0.00%,$0.00,$0.00,0,0
B09J1T79FX,B09J1T79FX,"Klein Electronics Valiant-K4 Remote Shoulder Speaker Microphone, Compatible with Kenwood NX-P500 NXP500 NXP-500 Two Way Radios",20,0,0.02%,0.00%,22,0,0.01%,0.00%,100.00%,0.00%,0,0,0.00%,0.00%,$0.00,$0.00,0,0
B09J1TCH3K,B09J1TCH3K,"Klein Electronics Curl-K3 in-Line 1-Wire Swivel Earpiece and Microphone, Compatible with Kenwood PKT-23 PKT23 Two Way Radios",6,0,0.00%,0.00%,7,0,0.00%,0.00%,66.67%,0.00%,0,0,0.00%,0.00%,$0.00,$0.00,0,0
