ï»¿(Parent) ASIN,(Child) ASIN,Title,Sessions - Total,Sessions - Total - B2B,Session Percentage - Total,Session Percentage - Total - B2B,Page Views - Total,Page Views - Total - B2B,Page Views Percentage - Total,Page Views Percentage - Total - B2B,Featured Offer (Buy Box) Percentage,Featured Offer (Buy Box) Percentage - B2B,Units Ordered,Units Ordered - B2B,Unit Session Percentage,Unit Session Percentage - B2B,Ordered Product Sales,Ordered Product Sales - B2B,Total Order Items,Total Order Items - B2B
B0C5S9CYV6,B0C5S9CYV6,"SHEEPDOG MICROPHONES Acoustic Tube Earpiece Mic, Compatible with Hytera HYT TC320, Commercial-Grade",44,8,0.03%,0.22%,79,14,0.05%,0.29%,100.00%,100.00%,20,4,45.45%,50.00%,$471.78,$87.78,12,2
B011AG7Q5Y,B011AG7Q5Y,PRYMEÂ® Pro Grade EH-GH89SC Swivel 3.5mm Earhook Listen Only Earpiece,326,8,0.25%,0.22%,417,10,0.25%,0.21%,99.45%,100.00%,13,0,3.99%,0.00%,$246.87,$0.00,11,0
B08PQ75J81,B08PQ75J81,"Sheepdog Police Lapel Mic, Compatible with Motorola APX 6000/7000/8000/4000 Radios, Law Enforcement Earpiece Headset, Wired, Black",174,3,0.14%,0.08%,246,4,0.14%,0.08%,100.00%,100.00%,16,0,9.20%,0.00%,"$1,020.00",$0.00,11,0
B08HZHMZ2N,B08HZHMZ2N,"Sheepdog Microphones Quick Disconnect Police Lapel Mic, Compatible with Kenwood P25 NEXEDGE NX and TK Series Radios, Law Enforcement Earpiece Headset",302,5,0.24%,0.14%,392,7,0.23%,0.15%,98.61%,100.00%,12,3,3.97%,60.00%,"$1,176.00",$294.00,10,1
B07XPDDJRH,B07XPDDJRH,Maxon TA-2600LI Battery for Maxon TecNet TP-5116 TP-5416 TP-8102 TP-8402 TP-8102R and TP-8402R Two Way Radios,47,11,0.04%,0.30%,66,14,0.04%,0.29%,84.62%,100.00%,51,46,108.51%,418.18%,"$3,468.00","$3,128.00",9,6
B08HMGFCZV,B08HMGFCZV,"Sheepdog Microphones Quick Disconnect Police Lapel Mic, Compatible with Motorola XTS5000 XTS3000 XTS2500 and XTS1500 Radios, Law Enforcement Earpiece Headset",157,4,0.12%,0.11%,180,4,0.11%,0.08%,100.00%,100.00%,8,0,5.10%,0.00%,$704.00,$0.00,8,0
B08SQ55VGR,B08SQ55VGR,"SHEEPDOG MICROPHONES SD20-MT9 Police Remote Shoulder Speaker Microphone, Compatible with Motorola APX 4000 APX 6000 APX 6000XE APX 7000 APX 8000 XPR 7550 and XPR 7550e Two Way Radios",169,5,0.13%,0.14%,244,6,0.14%,0.12%,100.00%,100.00%,9,2,5.33%,40.00%,$676.80,$150.40,8,1
B08T4L8JLN,B08T4L8JLN,"SHEEPDOG MICROPHONES SD28-MT9 Police Remote Shoulder Speaker Microphone, Compatible with Motorola APX 4000 APX 6000 APX 6000XE APX 7000 APX 8000 XPR 7550 and XPR 7550e Two Way Radios",235,6,0.18%,0.16%,325,10,0.19%,0.21%,99.64%,100.00%,8,0,3.40%,0.00%,$659.20,$0.00,8,0
B0C95GH12T,B0C95GH12T,"Klein TEAM6 Rapid Multi-Unit Charger (MUC), 6-Slots, Compatible with Kenwood NX1200 NX1300 Radios, Includes Wall and Vehicle Charger Cords",61,13,0.05%,0.36%,89,19,0.05%,0.39%,100.00%,100.00%,12,8,19.67%,61.54%,"$3,807.48","$2,447.68",8,5
B0CV65HPQZ,B0CV65HPQZ,"SHEEPDOG MICROPHONES Pro 2-Wire Surveillance Earpiece with Microphone, Compatible with Motorola R7, ION and MXP600, Black Cable (SPM-2300-M20), Premium Headset Kit",278,17,0.22%,0.47%,366,26,0.22%,0.54%,98.77%,100.00%,30,19,10.79%,111.76%,"$2,430.00","$1,539.00",8,4
B011AEYQWW,B011AEYQWW,Pryme EH-389SC Lookout 3.5mm Earhook Listen Only Earpiece Speaker,136,1,0.11%,0.03%,177,1,0.10%,0.02%,99.34%,100.00%,8,2,5.88%,200.00%,$156.73,$39.88,7,1
B074G41XWF,B074G41XWF,Earpieces 3.5mm Listen Only Headset Earhook Swivel for Motorola Speaker Lapel Mic,116,1,0.09%,0.03%,176,1,0.10%,0.02%,100.00%,100.00%,7,1,6.03%,100.00%,$174.72,$24.96,7,1
B08PQ94NRD,B08PQ94NRD,"SHEEPDOG MICROPHONES Police Lapel Mic, Compatible with Motorola XTS5000 XTS3000 XTS2500 and XTS1500 Radios, Law Enforcement Earpiece Headset, Wired, Black",116,4,0.09%,0.11%,146,5,0.09%,0.10%,96.99%,100.00%,7,2,6.03%,50.00%,$476.00,$136.00,7,2
B09HSXLQX5,B09HSXLQX5,"Klein Electronics K-Cord-M9 Headset Cable, Compatible with Motorola XPR 3300e XPR 3500e XPR3300 XPR3500 Two Way Radios",33,3,0.03%,0.08%,43,7,0.03%,0.15%,100.00%,100.00%,13,1,39.39%,33.33%,$558.35,$42.95,7,1
B09YJ4J8ZF,B09YJ4J8ZF,Pryme COMP-Aware Tips-STD (2-Pack) Medium Comply 4 Vent TechDefender Tips (Black) with Situational Awareness for Acoustic Tube Earpieces,86,2,0.07%,0.05%,122,3,0.07%,0.06%,100.00%,100.00%,8,0,9.30%,0.00%,$80.00,$0.00,7,0
B0BR65Z8N1,B0BR65Z8N1,SHEEPDOG MICROPHONES Heavy Duty Speaker Mic for Harris XG15 XG25 XG75 XL45P XL95P,188,9,0.15%,0.25%,288,13,0.17%,0.27%,98.44%,100.00%,8,1,4.26%,11.11%,$624.00,$78.00,7,1
